EXP HEAD,DEPT,SCHOOL,CATEGORY,SCHOOL CODE,DESCRIPTION,YEAR,VALUE,TEACHERS,PUPIL ROLL,ASN PUPILS,ATTENDANCE RATE
AH1010,A21,ALNESS ACADEMY,STAFF,ADD FUNDS,DEVELOPMENT,1718,172.59,38.8,382,,
KE3000,A21,ALNESS ACADEMY,INCOME,ADD FUNDS,FROM WITHIN HLAND CNCL,1718,-3086.0,38.8,382,,
DA4550,A11,ALNESS ACADEMY,CLASSROOM,ADMIN,SUPPLIES,1718,27.32,38.8,382,,
DD4001,A11,ALNESS ACADEMY,BOOKS,ADMIN,TEXT BOOKS/STATIONERY,1718,692.57,38.8,382,,
DA4550,A50,ALNESS ACADEMY,CLASSROOM,ART,SUPPLIES,1718,575.09,38.8,382,,
DA4551,A50,ALNESS ACADEMY,ART&CRAFT,ART,SUPPLIES,1718,2780.31,38.8,382,,
DD4001,A50,ALNESS ACADEMY,BOOKS,ART,TEXT BOOKS/STATIONERY,1718,623.86,38.8,382,,
AS1000,A52,ALNESS ACADEMY,APPRENTICESHIP,BUSINESS,LEVY COST,1718,26.0,38.8,382,,
DD4001,A52,ALNESS ACADEMY,BOOKS,BUSINESS,TEXT BOOKS/STATIONERY,1718,166.27,38.8,382,,
AA1100,A09,ALNESS ACADEMY,TEACHERS,DGM,PERMANENT  BASIC PAY,1718,37923.09,38.8,382,,
AB1100,A09,ALNESS ACADEMY,NI,DGM,PERMANENT TEACHERS,1718,4123.15,38.8,382,,
AC1100,A09,ALNESS ACADEMY,SUPERANN,DGM,PERMANENT TEACHERS,1718,6394.7,38.8,382,,
AS1000,A09,ALNESS ACADEMY,APPRENTICESHIP,DGM,LEVY COST,1718,189.59,38.8,382,,
AA1001,A10,ALNESS ACADEMY,APT&C,EM,BASIC PAY,1718,57962.17,38.8,382,,
AA1100,A10,ALNESS ACADEMY,TEACHERS,EM,PERMANENT  BASIC PAY,1718,1204282.56,38.8,382,,
AA1101,A10,ALNESS ACADEMY,SUPPLY,EM,COVER BASIC PAY,1718,33775.57,38.8,382,,
AA1110,A10,ALNESS ACADEMY,LABORATORY,EM,TECH'N BASIC PAY,1718,31187.98,38.8,382,,
AA1512,A10,ALNESS ACADEMY,CONTRACT,EM,PAYMENTS,1718,3100.0,38.8,382,,
AB1000,A10,ALNESS ACADEMY,NI,EM,NONTEACHERS,1718,6199.66,38.8,382,,
AB1100,A10,ALNESS ACADEMY,NI,EM,PERMANENT TEACHERS,1718,130640.58,38.8,382,,
AB1101,A10,ALNESS ACADEMY,NI,EM,SUPPLY COVER,1718,3217.42,38.8,382,,
AC1000,A10,ALNESS ACADEMY,SUPERANN,EM,NON TEACHERS,1718,15837.12,38.8,382,,
AC1100,A10,ALNESS ACADEMY,SUPERANN,EM,PERMANENT TEACHERS,1718,199578.62,38.8,382,,
AC1101,A10,ALNESS ACADEMY,SUPERANN,EM,SUPPLY COVER,1718,5527.58,38.8,382,,
AE1600,A10,ALNESS ACADEMY,MISCELLANEOUS,EM,,1718,950.0,38.8,382,,
AH1000,A10,ALNESS ACADEMY,TRAINING,EM,COURSES,1718,1539.1,38.8,382,,
AH1010,A10,ALNESS ACADEMY,STAFF,EM,DEVELOPMENT,1718,3201.5,38.8,382,,
AS1000,A10,ALNESS ACADEMY,APPRENTICESHIP,EM,LEVY COST,1718,6742.26,38.8,382,,
BA3000,A10,ALNESS ACADEMY,MAINT,EM,CLIENT EXTERNAL PARTIES,1718,7698.76,38.8,382,,
BB2000,A10,ALNESS ACADEMY,ELECTRICITY,EM,CHARGES,1718,57032.27,38.8,382,,
BB3000,A10,ALNESS ACADEMY,GAS,EM,CHARGES,1718,886.08,38.8,382,,
BB4000,A10,ALNESS ACADEMY,HEATING,EM,OIL,1718,138162.67,38.8,382,,
BD1000,A10,ALNESS ACADEMY,RATES,EM,,1718,196308.0,38.8,382,,
BE1000,A10,ALNESS ACADEMY,WATER,EM,CHARGES,1718,28284.29,38.8,382,,
BH2000,A10,ALNESS ACADEMY,CLEANING,EM,MATERIALS/EQUIPMENT,1718,2819.53,38.8,382,,
CA1000,A10,ALNESS ACADEMY,DERV,EM,,1718,781.51,38.8,382,,
CB1006,A10,ALNESS ACADEMY,INT,EM,HIRE CONT CHG FROM FLEET,1718,1509.33,38.8,382,,
CC1000,A10,ALNESS ACADEMY,EDUCATIONAL,EM,TRAVEL,1718,375.75,38.8,382,,
CC2000,A10,ALNESS ACADEMY,CAR,EM,HIRE,1718,243.51,38.8,382,,
CD1000,A10,ALNESS ACADEMY,FARES,EM,,1718,499.23,38.8,382,,
CF1000,A10,ALNESS ACADEMY,COURSES,EM,TRAVEL,1718,66.2,38.8,382,,
CF1002,A10,ALNESS ACADEMY,TRAINEE,EM,TRAVEL,1718,59.8,38.8,382,,
CF1004,A10,ALNESS ACADEMY,TRAVEL,EM,MILEAGE  NON TAXABLE,1718,708.87,38.8,382,,
DA1000,A10,ALNESS ACADEMY,EQUIPMENT,EM,PURCHASE,1718,7885.44,38.8,382,,
DA2040,A10,ALNESS ACADEMY,EQUIPMENT,EM,REPAIRS,1718,2436.63,38.8,382,,
DA4550,A10,ALNESS ACADEMY,CLASSROOM,EM,SUPPLIES,1718,6209.24,38.8,382,,
DA5020,A10,ALNESS ACADEMY,CLASSROOM,EM,FURNISHINGS,1718,540.5,38.8,382,,
DB2010,A10,ALNESS ACADEMY,FOOD,EM,,1718,869.94,38.8,382,,
DB3010,A10,ALNESS ACADEMY,MEALS&HOSPITALITY,EM,,1718,711.2,38.8,382,,
DD3003,A10,ALNESS ACADEMY,MPS,EM,COSTS  MONO,1718,10291.74,38.8,382,,
DD3004,A10,ALNESS ACADEMY,MPS,EM,COSTS  COLOUR,1718,8408.33,38.8,382,,
DD4001,A10,ALNESS ACADEMY,BOOKS,EM,TEXT BOOKS/STATIONERY,1718,5646.86,38.8,382,,
DE3010,A10,ALNESS ACADEMY,DEBT,EM,COLLECTION/SHERIFF OFFICE,1718,28.58,38.8,382,,
DF4001,A10,ALNESS ACADEMY,ICT,EM,CHARGES CORE SUPPLIER,1718,903.98,38.8,382,,
DF5002,A10,ALNESS ACADEMY,COMPUTER,EM,SOFTWARE PURCHASE,1718,300.0,38.8,382,,
DF7000,A10,ALNESS ACADEMY,POSTAGES,EM,,1718,869.8,38.8,382,,
DF9000,A10,ALNESS ACADEMY,LANDLINE,EM,TELEPHONES RENTAL,1718,2389.82,38.8,382,,
DG1000,A10,ALNESS ACADEMY,ACCOMMODATION,EM,,1718,768.43,38.8,382,,
DG1100,A10,ALNESS ACADEMY,TRAINING,EM,ACCOMMODATION,1718,210.45,38.8,382,,
DG4000,A10,ALNESS ACADEMY,SUBSISTENCE,EM,,1718,53.66,38.8,382,,
DK9500,A10,ALNESS ACADEMY,MISCELLANEOUS,EM,SUPPLIES,1718,1463.44,38.8,382,,
DK9600,A10,ALNESS ACADEMY,MISCELLANEOUS,EM,ADMIN COSTS,1718,271.13,38.8,382,,
EE1200,A10,ALNESS ACADEMY,SCOTT,EM,QUALIFICATIONS AUTHORITY,1718,34952.25,38.8,382,,
KC1936,A10,ALNESS ACADEMY,OTHER,EM,FEES/CHARGES,1718,22.0,38.8,382,,
XH1050,A10,ALNESS ACADEMY,REVENUE,EM,ACCOUNT BALANCE,1718,-117764.3,38.8,382,,
AA1100,A96,ALNESS ACADEMY,TEACHERS,EM,PERMANENT  BASIC PAY,1718,63573.41,38.8,382,,
AA1101,A96,ALNESS ACADEMY,SUPPLY,EM,COVER BASIC PAY,1718,6198.52,38.8,382,,
AA1103,A96,ALNESS ACADEMY,AUX,EM,STAFF EDUCATION BASIC PAY,1718,5717.41,38.8,382,,
AA1512,A96,ALNESS ACADEMY,CONTRACT,EM,PAYMENTS,1718,200.0,38.8,382,,
AB1000,A96,ALNESS ACADEMY,NI,EM,NONTEACHERS,1718,406.6,38.8,382,,
AB1100,A96,ALNESS ACADEMY,NI,EM,PERMANENT TEACHERS,1718,7048.52,38.8,382,,
AB1101,A96,ALNESS ACADEMY,NI,EM,SUPPLY COVER,1718,664.68,38.8,382,,
AC1000,A96,ALNESS ACADEMY,SUPERANN,EM,NON TEACHERS,1718,1114.89,38.8,382,,
AC1100,A96,ALNESS ACADEMY,SUPERANN,EM,PERMANENT TEACHERS,1718,10966.66,38.8,382,,
AC1101,A96,ALNESS ACADEMY,SUPERANN,EM,SUPPLY COVER,1718,1066.14,38.8,382,,
AS1000,A96,ALNESS ACADEMY,APPRENTICESHIP,EM,LEVY COST,1718,347.49,38.8,382,,
CF1004,A96,ALNESS ACADEMY,TRAVEL,EM,MILEAGE  NON TAXABLE,1718,150.6,38.8,382,,
DA4550,A96,ALNESS ACADEMY,CLASSROOM,EM,SUPPLIES,1718,-896.2,38.8,382,,
DD4001,A96,ALNESS ACADEMY,BOOKS,EM,TEXT BOOKS/STATIONERY,1718,300.0,38.8,382,,
KA3000,A96,ALNESS ACADEMY,GOVT,EM,GRANTS SPECIFIC GRANTS,1718,-96858.72,38.8,382,,
DA4550,A58,ALNESS ACADEMY,CLASSROOM,ENGLISH,SUPPLIES,1718,253.59,38.8,382,,
DD4001,A58,ALNESS ACADEMY,BOOKS,ENGLISH,TEXT BOOKS/STATIONERY,1718,1009.43,38.8,382,,
KB3001,A32,ALNESS ACADEMY,GRANTS,FIT FOR GIRLS,OTHER PUBLIC BODIES,1718,-550.0,38.8,382,,
DD4001,A60,ALNESS ACADEMY,BOOKS,GEOGRAPHY,TEXT BOOKS/STATIONERY,1718,383.6,38.8,382,,
DD4001,A83,ALNESS ACADEMY,BOOKS,GUIDANCE,TEXT BOOKS/STATIONERY,1718,122.55,38.8,382,,
DD4001,A61,ALNESS ACADEMY,BOOKS,HISTORY,TEXT BOOKS/STATIONERY,1718,1390.33,38.8,382,,
DA4556,A62,ALNESS ACADEMY,HOME,HOME EC,ECONOMICS SUPPLIES,1718,426.79,38.8,382,,
DD4001,A65,ALNESS ACADEMY,BOOKS,LIBRARY,TEXT BOOKS/STATIONERY,1718,556.7,38.8,382,,
DA4550,A64,ALNESS ACADEMY,CLASSROOM,LRN SUP,SUPPLIES,1718,408.65,38.8,382,,
DD4001,A64,ALNESS ACADEMY,BOOKS,LRN SUP,TEXT BOOKS/STATIONERY,1718,853.18,38.8,382,,
DD4001,A66,ALNESS ACADEMY,BOOKS,MATHS,TEXT BOOKS/STATIONERY,1718,1674.55,38.8,382,,
DD4001,A67,ALNESS ACADEMY,BOOKS,MOD LANG,TEXT BOOKS/STATIONERY,1718,1435.06,38.8,382,,
DA4554,A69,ALNESS ACADEMY,MUSICAL,MUSIC & DRAMA,SUPPLIES,1718,2325.85,38.8,382,,
DD4001,A69,ALNESS ACADEMY,BOOKS,MUSIC & DRAMA,TEXT BOOKS/STATIONERY,1718,204.08,38.8,382,,
DA4553,A70,ALNESS ACADEMY,PE,PE,SUPPLIES,1718,431.8,38.8,382,,
DD4001,A70,ALNESS ACADEMY,BOOKS,PE,TEXT BOOKS/STATIONERY,1718,244.4,38.8,382,,
AA1101,PEF,ALNESS ACADEMY,SUPPLY,PEF,COVER BASIC PAY,1718,823.32,38.8,382,,
AB1101,PEF,ALNESS ACADEMY,NI,PEF,SUPPLY COVER,1718,65.17,38.8,382,,
AC1101,PEF,ALNESS ACADEMY,SUPERANN,PEF,SUPPLY COVER,1718,141.63,38.8,382,,
CC1000,PEF,ALNESS ACADEMY,EDUCATIONAL,PEF,TRAVEL,1718,12041.25,38.8,382,,
DA1000,PEF,ALNESS ACADEMY,EQUIPMENT,PEF,PURCHASE,1718,25826.6,38.8,382,,
DA4550,PEF,ALNESS ACADEMY,CLASSROOM,PEF,SUPPLIES,1718,6775.9,38.8,382,,
DB3010,PEF,ALNESS ACADEMY,MEALS&HOSPITALITY,PEF,,1718,133.0,38.8,382,,
KA3000,PEF,ALNESS ACADEMY,GOVT,PEF,GRANTS SPECIFIC GRANTS,1718,-45806.87,38.8,382,,
DD4001,A73,ALNESS ACADEMY,BOOKS,RELIGIOUS,TEXT BOOKS/STATIONERY,1718,14.88,38.8,382,,
DA4550,A74,ALNESS ACADEMY,CLASSROOM,SCIENCE S1,SUPPLIES,1718,3294.35,38.8,382,,
DA4555,A74,ALNESS ACADEMY,SCIENTIFIC,SCIENCE S1,SUPPLIES,1718,1184.8,38.8,382,,
DD4001,A74,ALNESS ACADEMY,BOOKS,SCIENCE S1,TEXT BOOKS/STATIONERY,1718,956.94,38.8,382,,
DK9600,A17,ALNESS ACADEMY,MISCELLANEOUS,STUDY SUP,ADMIN COSTS,1718,810.26,38.8,382,,
DA4550,A79,ALNESS ACADEMY,CLASSROOM,TECHNICAL,SUPPLIES,1718,692.03,38.8,382,,
DA4552,A79,ALNESS ACADEMY,WOOD/METALWORK,TECHNICAL,SUPPLIES,1718,1433.63,38.8,382,,
DD4001,A79,ALNESS ACADEMY,BOOKS,TECHNICAL,TEXT BOOKS/STATIONERY,1718,427.78,38.8,382,,
AH1010,A21,ALNESS ACADEMY,STAFF,ADD FUNDS,DEVELOPMENT,1819,415.57,35.6,410.0,211,88.63
KE3000,A21,ALNESS ACADEMY,INCOME,ADD FUNDS,FROM WITHIN HLAND CNCL,1819,-2969.0,35.6,410.0,211,88.63
DD4001,A11,ALNESS ACADEMY,BOOKS,ADMIN,TEXT BOOKS/STATIONERY,1819,575.92,35.6,410.0,211,88.63
DA4550,A50,ALNESS ACADEMY,CLASSROOM,ART,SUPPLIES,1819,2432.93,35.6,410.0,211,88.63
DA4551,A50,ALNESS ACADEMY,ART&CRAFT,ART,SUPPLIES,1819,1681.91,35.6,410.0,211,88.63
DD4001,A50,ALNESS ACADEMY,BOOKS,ART,TEXT BOOKS/STATIONERY,1819,236.16,35.6,410.0,211,88.63
DD4001,A52,ALNESS ACADEMY,BOOKS,BUSINESS,TEXT BOOKS/STATIONERY,1819,49.49,35.6,410.0,211,88.63
AH1010,A28,ALNESS ACADEMY,STAFF,CPD,DEVELOPMENT,1819,212.55,35.6,410.0,211,88.63
AA1100,A09,ALNESS ACADEMY,TEACHERS,DGM,PERMANENT  BASIC PAY,1819,22511.44,35.6,410.0,211,88.63
AB1100,A09,ALNESS ACADEMY,NI,DGM,PERMANENT TEACHERS,1819,2036.15,35.6,410.0,211,88.63
AC1100,A09,ALNESS ACADEMY,SUPERANN,DGM,PERMANENT TEACHERS,1819,3502.16,35.6,410.0,211,88.63
AS1000,A09,ALNESS ACADEMY,APPRENTICESHIP,DGM,LEVY COST,1819,102.99,35.6,410.0,211,88.63
AA1001,A10,ALNESS ACADEMY,APT&C,EM,BASIC PAY,1819,61032.82,35.6,410.0,211,88.63
AA1100,A10,ALNESS ACADEMY,TEACHERS,EM,PERMANENT  BASIC PAY,1819,1274834.98,35.6,410.0,211,88.63
AA1101,A10,ALNESS ACADEMY,SUPPLY,EM,COVER BASIC PAY,1819,22063.55,35.6,410.0,211,88.63
AA1110,A10,ALNESS ACADEMY,LABORATORY,EM,TECH'N BASIC PAY,1819,37446.36,35.6,410.0,211,88.63
AA1250,A10,ALNESS ACADEMY,HOLIDAY,EM,PAY,1819,47.87,35.6,410.0,211,88.63
AB1000,A10,ALNESS ACADEMY,NI,EM,NONTEACHERS,1819,7476.75,35.6,410.0,211,88.63
AB1100,A10,ALNESS ACADEMY,NI,EM,PERMANENT TEACHERS,1819,136660.53,35.6,410.0,211,88.63
AB1101,A10,ALNESS ACADEMY,NI,EM,SUPPLY COVER,1819,3459.74,35.6,410.0,211,88.63
AC1000,A10,ALNESS ACADEMY,SUPERANN,EM,NON TEACHERS,1819,16755.13,35.6,410.0,211,88.63
AC1100,A10,ALNESS ACADEMY,SUPERANN,EM,PERMANENT TEACHERS,1819,209617.52,35.6,410.0,211,88.63
AC1101,A10,ALNESS ACADEMY,SUPERANN,EM,SUPPLY COVER,1819,5773.72,35.6,410.0,211,88.63
AE1006,A10,ALNESS ACADEMY,MEDICAL,EM,EXAMS STAFF,1819,300.0,35.6,410.0,211,88.63
AE1600,A10,ALNESS ACADEMY,MISCELLANEOUS,EM,,1819,160.0,35.6,410.0,211,88.63
AH1000,A10,ALNESS ACADEMY,TRAINING,EM,COURSES,1819,1370.0,35.6,410.0,211,88.63
AH1010,A10,ALNESS ACADEMY,STAFF,EM,DEVELOPMENT,1819,1473.33,35.6,410.0,211,88.63
AS1000,A10,ALNESS ACADEMY,APPRENTICESHIP,EM,LEVY COST,1819,7128.27,35.6,410.0,211,88.63
BA3000,A10,ALNESS ACADEMY,MAINT,EM,CLIENT EXTERNAL PARTIES,1819,6133.45,35.6,410.0,211,88.63
BB2000,A10,ALNESS ACADEMY,ELECTRICITY,EM,CHARGES,1819,58331.01,35.6,410.0,211,88.63
BB3000,A10,ALNESS ACADEMY,GAS,EM,CHARGES,1819,440.18,35.6,410.0,211,88.63
BB4000,A10,ALNESS ACADEMY,HEATING,EM,OIL,1819,130005.35,35.6,410.0,211,88.63
BD1000,A10,ALNESS ACADEMY,RATES,EM,,1819,199364.0,35.6,410.0,211,88.63
BE1000,A10,ALNESS ACADEMY,WATER,EM,CHARGES,1819,25307.26,35.6,410.0,211,88.63
BH2000,A10,ALNESS ACADEMY,CLEANING,EM,MATERIALS/EQUIPMENT,1819,2479.37,35.6,410.0,211,88.63
CA1000,A10,ALNESS ACADEMY,DERV,EM,,1819,828.37,35.6,410.0,211,88.63
CB1006,A10,ALNESS ACADEMY,INT,EM,HIRE CONT CHG FROM FLEET,1819,1480.02,35.6,410.0,211,88.63
CB1007,A10,ALNESS ACADEMY,VEHICLE,EM,MAINT O/CHG FROM FLEET,1819,87.0,35.6,410.0,211,88.63
CC1000,A10,ALNESS ACADEMY,EDUCATIONAL,EM,TRAVEL,1819,567.04,35.6,410.0,211,88.63
CC2000,A10,ALNESS ACADEMY,CAR,EM,HIRE,1819,135.22,35.6,410.0,211,88.63
CD1000,A10,ALNESS ACADEMY,FARES,EM,,1819,219.59,35.6,410.0,211,88.63
CF1000,A10,ALNESS ACADEMY,COURSES,EM,TRAVEL,1819,116.6,35.6,410.0,211,88.63
CF1001,A10,ALNESS ACADEMY,CONFERENCE,EM,TRAVEL,1819,54.0,35.6,410.0,211,88.63
CF1004,A10,ALNESS ACADEMY,TRAVEL,EM,MILEAGE  NON TAXABLE,1819,966.37,35.6,410.0,211,88.63
DA1000,A10,ALNESS ACADEMY,EQUIPMENT,EM,PURCHASE,1819,2436.18,35.6,410.0,211,88.63
DA2040,A10,ALNESS ACADEMY,EQUIPMENT,EM,REPAIRS,1819,897.52,35.6,410.0,211,88.63
DA4000,A10,ALNESS ACADEMY,MATERIALS,EM,,1819,125.98,35.6,410.0,211,88.63
DA4040,A10,ALNESS ACADEMY,SANITARY,EM,PRODUCTS  TOWELS,1819,377.3,35.6,410.0,211,88.63
DA4041,A10,ALNESS ACADEMY,SANITARY,EM,PRODUCTS  TAMPONS,1819,650.29,35.6,410.0,211,88.63
DA4550,A10,ALNESS ACADEMY,CLASSROOM,EM,SUPPLIES,1819,2362.43,35.6,410.0,211,88.63
DA5020,A10,ALNESS ACADEMY,CLASSROOM,EM,FURNISHINGS,1819,438.13,35.6,410.0,211,88.63
DB2010,A10,ALNESS ACADEMY,FOOD,EM,,1819,2121.68,35.6,410.0,211,88.63
DB3010,A10,ALNESS ACADEMY,MEALS&HOSPITALITY,EM,,1819,599.15,35.6,410.0,211,88.63
DD2000,A10,ALNESS ACADEMY,STATIONERY,EM,,1819,0.74,35.6,410.0,211,88.63
DD3003,A10,ALNESS ACADEMY,MPS,EM,COSTS  MONO,1819,10011.62,35.6,410.0,211,88.63
DD3004,A10,ALNESS ACADEMY,MPS,EM,COSTS  COLOUR,1819,8375.22,35.6,410.0,211,88.63
DD4001,A10,ALNESS ACADEMY,BOOKS,EM,TEXT BOOKS/STATIONERY,1819,3685.47,35.6,410.0,211,88.63
DF4001,A10,ALNESS ACADEMY,ICT,EM,CHARGES CORE SUPPLIER,1819,25.0,35.6,410.0,211,88.63
DF7000,A10,ALNESS ACADEMY,POSTAGES,EM,,1819,666.07,35.6,410.0,211,88.63
DF9000,A10,ALNESS ACADEMY,LANDLINE,EM,TELEPHONES RENTAL,1819,2075.33,35.6,410.0,211,88.63
DF9010,A10,ALNESS ACADEMY,MOBILE,EM,PHONE LINE RENTAL,1819,445.5,35.6,410.0,211,88.63
DG1000,A10,ALNESS ACADEMY,ACCOMMODATION,EM,,1819,921.81,35.6,410.0,211,88.63
DG4000,A10,ALNESS ACADEMY,SUBSISTENCE,EM,,1819,155.31,35.6,410.0,211,88.63
DK9500,A10,ALNESS ACADEMY,MISCELLANEOUS,EM,SUPPLIES,1819,640.0,35.6,410.0,211,88.63
DK9600,A10,ALNESS ACADEMY,MISCELLANEOUS,EM,ADMIN COSTS,1819,1686.65,35.6,410.0,211,88.63
EE1200,A10,ALNESS ACADEMY,SCOTT,EM,QUALIFICATIONS AUTHORITY,1819,34149.0,35.6,410.0,211,88.63
KC1936,A10,ALNESS ACADEMY,OTHER,EM,FEES/CHARGES,1819,-206.0,35.6,410.0,211,88.63
KG2000,A10,ALNESS ACADEMY,SALE,EM,OF VEHICLES,1819,-596.38,35.6,410.0,211,88.63
XH1050,A10,ALNESS ACADEMY,REVENUE,EM,ACCOUNT BALANCE,1819,-119444.4,35.6,410.0,211,88.63
AA1100,A96,ALNESS ACADEMY,TEACHERS,EM,PERMANENT  BASIC PAY,1819,66946.76,35.6,410.0,211,88.63
AA1101,A96,ALNESS ACADEMY,SUPPLY,EM,COVER BASIC PAY,1819,832.13,35.6,410.0,211,88.63
AA1103,A96,ALNESS ACADEMY,AUX,EM,STAFF EDUCATION BASIC PAY,1819,24242.53,35.6,410.0,211,88.63
AB1000,A96,ALNESS ACADEMY,NI,EM,NONTEACHERS,1819,1616.36,35.6,410.0,211,88.63
AB1100,A96,ALNESS ACADEMY,NI,EM,PERMANENT TEACHERS,1819,6880.85,35.6,410.0,211,88.63
AB1101,A96,ALNESS ACADEMY,NI,EM,SUPPLY COVER,1819,15.05,35.6,410.0,211,88.63
AC1000,A96,ALNESS ACADEMY,SUPERANN,EM,NON TEACHERS,1819,4671.04,35.6,410.0,211,88.63
AC1100,A96,ALNESS ACADEMY,SUPERANN,EM,PERMANENT TEACHERS,1819,11514.81,35.6,410.0,211,88.63
AS1000,A96,ALNESS ACADEMY,APPRENTICESHIP,EM,LEVY COST,1819,453.73,35.6,410.0,211,88.63
CF1004,A96,ALNESS ACADEMY,TRAVEL,EM,MILEAGE  NON TAXABLE,1819,8.25,35.6,410.0,211,88.63
DG4000,A96,ALNESS ACADEMY,SUBSISTENCE,EM,,1819,20.0,35.6,410.0,211,88.63
DK9500,A96,ALNESS ACADEMY,MISCELLANEOUS,EM,SUPPLIES,1819,160.0,35.6,410.0,211,88.63
KA3000,A96,ALNESS ACADEMY,GOVT,EM,GRANTS SPECIFIC GRANTS,1819,-117361.51,35.6,410.0,211,88.63
DA4550,A58,ALNESS ACADEMY,CLASSROOM,ENGLISH,SUPPLIES,1819,88.1,35.6,410.0,211,88.63
DD4001,A58,ALNESS ACADEMY,BOOKS,ENGLISH,TEXT BOOKS/STATIONERY,1819,2038.34,35.6,410.0,211,88.63
DA1000,A92,ALNESS ACADEMY,EQUIPMENT,FOOD FOR THGHT,PURCHASE,1819,1390.23,35.6,410.0,211,88.63
DB2010,A92,ALNESS ACADEMY,FOOD,FOOD FOR THGHT,,1819,15.73,35.6,410.0,211,88.63
KA3000,A92,ALNESS ACADEMY,GOVT,FOOD FOR THGHT,GRANTS SPECIFIC GRANTS,1819,-1405.96,35.6,410.0,211,88.63
DD4001,A60,ALNESS ACADEMY,BOOKS,GEOGRAPHY,TEXT BOOKS/STATIONERY,1819,1192.33,35.6,410.0,211,88.63
DD4001,A83,ALNESS ACADEMY,BOOKS,GUIDANCE,TEXT BOOKS/STATIONERY,1819,93.16,35.6,410.0,211,88.63
DD4001,A61,ALNESS ACADEMY,BOOKS,HISTORY,TEXT BOOKS/STATIONERY,1819,275.21,35.6,410.0,211,88.63
DA4556,A62,ALNESS ACADEMY,HOME,HOME EC,ECONOMICS SUPPLIES,1819,46.03,35.6,410.0,211,88.63
DD4001,A65,ALNESS ACADEMY,BOOKS,LIBRARY,TEXT BOOKS/STATIONERY,1819,828.61,35.6,410.0,211,88.63
DA4550,A64,ALNESS ACADEMY,CLASSROOM,LRN SUP,SUPPLIES,1819,512.13,35.6,410.0,211,88.63
DD4001,A64,ALNESS ACADEMY,BOOKS,LRN SUP,TEXT BOOKS/STATIONERY,1819,698.04,35.6,410.0,211,88.63
AS1000,A66,ALNESS ACADEMY,APPRENTICESHIP,MATHS,LEVY COST,1819,74.95,35.6,410.0,211,88.63
DD4001,A66,ALNESS ACADEMY,BOOKS,MATHS,TEXT BOOKS/STATIONERY,1819,2115.52,35.6,410.0,211,88.63
DD4001,A67,ALNESS ACADEMY,BOOKS,MOD LANG,TEXT BOOKS/STATIONERY,1819,1266.64,35.6,410.0,211,88.63
DA4554,A69,ALNESS ACADEMY,MUSICAL,MUSIC & DRAMA,SUPPLIES,1819,2419.95,35.6,410.0,211,88.63
DD4001,A69,ALNESS ACADEMY,BOOKS,MUSIC & DRAMA,TEXT BOOKS/STATIONERY,1819,91.9,35.6,410.0,211,88.63
DA4553,A70,ALNESS ACADEMY,PE,PE,SUPPLIES,1819,2685.1,35.6,410.0,211,88.63
DD4001,A70,ALNESS ACADEMY,BOOKS,PE,TEXT BOOKS/STATIONERY,1819,226.18,35.6,410.0,211,88.63
AA1001,PEF,ALNESS ACADEMY,APT&C,PEF,BASIC PAY,1819,261.0,35.6,410.0,211,88.63
AA1103,PEF,ALNESS ACADEMY,AUX,PEF,STAFF EDUCATION BASIC PAY,1819,7532.32,35.6,410.0,211,88.63
AB1000,PEF,ALNESS ACADEMY,NI,PEF,NONTEACHERS,1819,553.7,35.6,410.0,211,88.63
AC1000,PEF,ALNESS ACADEMY,SUPERANN,PEF,NON TEACHERS,1819,1468.79,35.6,410.0,211,88.63
AE1600,PEF,ALNESS ACADEMY,MISCELLANEOUS,PEF,,1819,2500.0,35.6,410.0,211,88.63
AS1000,PEF,ALNESS ACADEMY,APPRENTICESHIP,PEF,LEVY COST,1819,37.66,35.6,410.0,211,88.63
CC1000,PEF,ALNESS ACADEMY,EDUCATIONAL,PEF,TRAVEL,1819,21592.0,35.6,410.0,211,88.63
DA1000,PEF,ALNESS ACADEMY,EQUIPMENT,PEF,PURCHASE,1819,3367.2,35.6,410.0,211,88.63
DA4550,PEF,ALNESS ACADEMY,CLASSROOM,PEF,SUPPLIES,1819,9187.41,35.6,410.0,211,88.63
DD2000,PEF,ALNESS ACADEMY,STATIONERY,PEF,,1819,11.63,35.6,410.0,211,88.63
KA3000,PEF,ALNESS ACADEMY,GOVT,PEF,GRANTS SPECIFIC GRANTS,1819,-46511.71,35.6,410.0,211,88.63
DA4550,A74,ALNESS ACADEMY,CLASSROOM,SCIENCE S1,SUPPLIES,1819,6025.99,35.6,410.0,211,88.63
DA4555,A74,ALNESS ACADEMY,SCIENTIFIC,SCIENCE S1,SUPPLIES,1819,1351.23,35.6,410.0,211,88.63
DD4001,A74,ALNESS ACADEMY,BOOKS,SCIENCE S1,TEXT BOOKS/STATIONERY,1819,4702.8,35.6,410.0,211,88.63
DK9600,A17,ALNESS ACADEMY,MISCELLANEOUS,STUDY SUP,ADMIN COSTS,1819,742.28,35.6,410.0,211,88.63
DA4550,A79,ALNESS ACADEMY,CLASSROOM,TECHNICAL,SUPPLIES,1819,274.1,35.6,410.0,211,88.63
DA4552,A79,ALNESS ACADEMY,WOOD/METALWORK,TECHNICAL,SUPPLIES,1819,785.2,35.6,410.0,211,88.63
